time,bmi,sex,age,geo\isced97	TOTAL 	ED0-2 	ED3_4 	ED5_6 
2008,18P5-25,M,Y_GE85,AT	41.7 	19 u	66.6 u	: 
2008,18P5-25,M,Y_GE85,BE	52.3 	49.2 	55.4 	56.7 
2008,18P5-25,M,Y_GE85,BG	59.4 u	62.6 u	: 	: 
2008,18P5-25,M,Y_GE85,CY	51.8 u	53.6 u	: 	: 
2008,18P5-25,M,Y_GE85,DE	: c	: c	: c	: c
2008,18P5-25,M,Y_GE85,EL	32.9 	27.1 u	: 	: 
2008,18P5-25,M,Y_GE85,ES	43 	41.5 	: 	: 
2008,18P5-25,M,Y_GE85,FR	51.3 	46 	56.2 	72.8 u
2008,18P5-25,M,Y_GE85,HU	53.9 u	: 	: 	: 
2008,18P5-25,M,Y_GE85,PL	39.7 	42.8 	26.8 u	: 
2008,18P5-25,M,Y_GE85,RO	54.6 	47.6 u	: 	: 
2008,18P5-25,M,Y_GE85,TR	41 u	40 u	: 	: 
2008,18P5-25,T,TOTAL,AT	48.7 	38.2 	51.8 	52.4 
2008,18P5-25,T,TOTAL,BE	49.7 	41.2 	50.1 	57.8 
2008,18P5-25,T,TOTAL,BG	46.2 	44.2 	46.1 	49.9 
2008,18P5-25,T,TOTAL,CY	45.8 	36.3 	49.9 	52.4 
2008,18P5-25,T,TOTAL,CZ	40.9 	43.7 	39 	50.3 
2008,18P5-25,T,TOTAL,DE	45.7 	44.2 	44.9 	49 
2008,18P5-25,T,TOTAL,EE	46.2 	42.1 	46.3 	55.1 
2008,18P5-25,T,TOTAL,EL	41.9 	32.6 	48.1 	48.7 
2008,18P5-25,T,TOTAL,ES	45 	37.3 	51.3 	55.1 
2008,18P5-25,T,TOTAL,FR	53.1 	44.1 	53.7 	64.5 
2008,18P5-25,T,TOTAL,HU	41.7 	37.8 	40.6 	50.2 
2008,18P5-25,T,TOTAL,LV	43.2 	39.8 	42.7 	48.6 
2008,18P5-25,T,TOTAL,MT	38 u	27.1 u	42.3 	43.7 
2008,18P5-25,T,TOTAL,PL	43.6 	38.6 	42.2 	53.5 
2008,18P5-25,T,TOTAL,RO	47.8 	48.8 	47 	49.7 
2008,18P5-25,T,TOTAL,SI	41.8 	31.6 	41.3 	56.9 
2008,18P5-25,T,TOTAL,SK	46.7 	39.2 	46 	53.7 
2008,18P5-25,T,TOTAL,TR	46.4 	42.5 	57.9 	49.2 
2008,18P5-25,T,Y18-24,AT	73.9 	67.5 	75.9 	74.4 
2008,18P5-25,T,Y18-24,BE	76.2 	71.1 	74.6 	80.2 
2008,18P5-25,T,Y18-24,BG	71 	76.4 	70.5 	50.8 u
2008,18P5-25,T,Y18-24,CY	70.3 	53.8 	73.6 	70.6 
2008,18P5-25,T,Y18-24,CZ	67.6 	77.8 u	64.1 	: 
2008,18P5-25,T,Y18-24,DE	73 	73.7 	72.2 	77.6 
2008,18P5-25,T,Y18-24,EE	71.7 	74.8 	71.2 	65.7 
2008,18P5-25,T,Y18-24,EL	71.9 	74.5 	72 	68.7 
2008,18P5-25,T,Y18-24,ES	69.1 	66.8 	71 	70.3 
2008,18P5-25,T,Y18-24,FR	73.5 	70.7 	74 	74.7 
2008,18P5-25,T,Y18-24,HU	68.6 	69.9 	67.4 	74.5 u
2008,18P5-25,T,Y18-24,LV	76.6 	75.9 	75.5 	83.5 
2008,18P5-25,T,Y18-24,MT	58.5 	: 	59 	57.5 
2008,18P5-25,T,Y18-24,PL	70.8 	75.9 	68.9 	73.6 
2008,18P5-25,T,Y18-24,RO	74.5 	78.7 	72.9 	70.6 
2008,18P5-25,T,Y18-24,SI	67.1 	68.3 u	66.1 	: 
